	Тип библиотеки	Электронный каталог	Изба-читальня	Дата открытия	Размер фонда	Уверенность в фонде
813				1968	48000	1
814						
815			0			
816				17 декабря 1921		
817						
818			0			
819						
820						
821						
822	универсальная	opac.nekrasovka.ru/vmk/				
823	универсальная	opac.nekrasovka.ru/vmk/				
824			0	1936		
825				июне 1971		
826					72810	1
827	универсальная	opac.nekrasovka.ru/vmk/		1938	33000	1
828	универсальная	opac.nekrasovka.ru/vmk/				
829						
830						
831				1952		
832						
833	универсальная	opac.nekrasovka.ru/vmk/				
834						
835						
836						
837	Детская	sao.biblio.informsystema.ru/Marc.html?locale=ru				
838	взрослая	opac.nekrasovka.ru/opacg2/?bibl	0			
839	взрослая	opac.nekrasovka.ru/opacg2/?bibl	0			
840	взрослая	opac.nekrasovka.ru/opacg2/?bibl	0			
841	взрослая	opac.nekrasovka.ru/opacg2/?bibl	0			
842						
843	детская	gaidarovka.ru/component/option,com_irbis/Itemid,1572/	0	1934		
844	детская	gaidarovka.ru/component/option,com_irbis/Itemid,1572/	0	1934		
845			0		4571	1
846			0			
847				1912		
848	универсальная	opac.nekrasovka.ru/vmk/				
849	универсальная	opac.nekrasovka.ru/vmk/				
850				1950	14000	1
851			0			
852						
853			0			
854			0			
855				август 1970		
856						
857			0			
858			1	1932	13946	1
859						
860						
861						
862						
863						
864					15000	1
865				1969	18000	1
866			0		40000	1
867						
868				28 января 1989		
869					20749	1
870						
871				3 февраля 1950	14000	1
872				1954		
873				1972	5415	1
874						
875			0			
876						
877			0			
878				20 февраля 1969	33645	1
879				27 января 1969	76000	1
880			0		28718	1
881						
882				1977		
883				1966		
884						
885						
886				1921	70000	1
887				1917	89000	1
888			0	1910	14873	1
889						
890					80000	1
891						
892						
893						
894						
895				1950		
896				1907	8318	1
897				1968		
898				1953	8514	1
899						
900				1930	8619	1
901						
902				7 октября 1906	7475	1
903					74296	1
904				декабре 1990	12000	1
905	универсальная	opac.nekrasovka.ru/vmk/				
906						
907					150000	1
908						
909					6000	1
910				1983	3356	1
911						
912						
913			0	1921		
914						
915						
916				1944		
917				1943	65000	1
918	универсальная	opac.nekrasovka.ru/vmk/				
919						
920						
921						
922					47594	1
923					52000	1
924						
925						
926						
927						
928						
929					3971	1
930					21864	1
931						
932						
933						
934						
935					36869	1
936				1953	42000	1
937						
938				27 ноября 1952	12666	1
939					120000	1
940				1968	7729	1
941					7937	1
942					4983	1
943					6893	1
944				1969	3771	1
945						
946				1969		
947						
948						
949						
950				1927		
951					26235	1
952						
953						
954						
955						
956						
957				8 марта 1936	80000	1
958						
959						
960						
961						
962						
963						
964						
965						
966				1968		
967						
968						
969						
970				1966		
971				2 февраля 1979	10000	1
972				9 мая 1900	700000	1
973					35000	1
974					45000	1
975						
976						
977						
978						
979						
980				1959		
981			0		8429	1
982					8285	0
983				1969	5854	1
984				1983	8887	1
985					9860	1
986					7400	1
987					6772	0
988					5920	0
989				1966	5405	1
990				1979	9913	1
991					46000	1
992					8696	1
993				1966	7178	1
994					6900	0
995					8497	1
996					10601	1
997				1978	3732	0
998						
999				1980	8181	1
1000				1979	8920	1
1001				1971	10425	1
1002					26186	1
1003						
1004					17284	1
1005				1969	22069	1
1006					34013	1
1007				17 июня 1975	24149	0
1008						
1009					32512	1
1010						
1011					16318	1
1012					4485	1
1013					11000	1
1014				1947		
1015						
1016						
1017					10000	1
1018						
1019						
1020						
1021					97000	1
1022						
1023						
1024						
1025						
1026						
1027						
1028						
1029					115000	1
1030						
1031					27000	1
1032						
1033						
1034						
