n_visits	prep	n_days
			
			
			
			
			
140	в	365
			
			
2 500	в	365
			
			
			
			
			
			
			
			
			
			
			
			
49000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
100	None	1
			
			
			
			
			
			
			
			
1030	в	365
			
			
			
			
			
			
470	с	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
500	None	365
			
			
			
			
			
500	за	365
			
			
			
			
			
			
			
			
			
			
			
300	с	1
			
			
			
			
			
			
			
			
23000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
7 500	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1900	None	365
			
5000	None	365
650	None	365
пяти_1000	None	365
500	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
260	None	365
750	None	365
			
			
507	None	365
700	None	365
1,5_1000	в	365
			
			
			
			
			
			
			
			
			
			
			
700	None	365
37000	None	365
			
			
			
			
			
			
			
1807	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
1500	None	365
			
			
			
480	None	365
			
			
800	None	365
400	None	365
			
			
			
			
1100	None	365
			
			
650	None	365
870	за	365
			
			
			
			
950	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
400	в	365
			
650	None	365
			
			
1 600	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
500	None	365
2500	None	365
			
			
			
22000	None	365
125	None	365
			
			
4 200	None	365
			
			
			
			
3000	None	365
			
			
			
			
			
			
			
			
			
			
			
3000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
4090	None	365
			
			
15532	в	365
			
			
			
6,5_1000	None	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
456	в	365
			
			
			
			
			
			
			
			
			
15000	в	365
			
			
17000	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
519	в	365
700	None	365
			
521	None	365
			
			
			
			
12000	None	365
			
			
			
			
			
			
652	в	365
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
			
36 465	за	365
			
			
			
			
			
			
			
			
			
			
525	в	365
			
			
			
			
			
			
			
